Step,Normal_Reward_Eps_0,Normal_Reward_Eps_0.01,Normal_Reward_Eps_0.1,Binomial_Reward_Eps_0,Binomial_Reward_Eps_0.01,Binomial_Reward_Eps_0.1,Bernoulli_Reward_Eps_0,Bernoulli_Reward_Eps_0.01,Bernoulli_Reward_Eps_0.1,Normal_Opt_Eps_0,Normal_Opt_Eps_0.01,Normal_Opt_Eps_0.1,Binomial_Opt_Eps_0,Binomial_Opt_Eps_0.01,Binomial_Opt_Eps_0.1,Bernoulli_Opt_Eps_0,Bernoulli_Opt_Eps_0.01,Bernoulli_Opt_Eps_0.1
115,1.5832879908187123,4.888028043600402,8.834004398498688,6.788,7.342,8.862,0.104,0.204,0.552,0.0,0.094,0.548,0.0,0.094,0.524,0.0,0.058,0.512
116,1.6424138024470007,4.980676589900429,8.738556564016754,6.904,7.53,9.092,0.098,0.18,0.548,0.0,0.094,0.544,0.0,0.092,0.542,0.0,0.06,0.518
117,1.5429820069713138,4.944983818598528,8.576784669302551,6.802,7.454,9.03,0.104,0.192,0.534,0.0,0.092,0.518,0.0,0.092,0.536,0.0,0.06,0.502
118,1.569743987547647,4.993405736248763,8.781178165798424,6.918,7.51,8.93,0.086,0.186,0.542,0.0,0.096,0.554,0.0,0.088,0.534,0.0,0.058,0.52
119,1.604563905206492,4.966452330704411,8.613567445786396,6.938,7.366,8.93,0.094,0.198,0.564,0.0,0.098,0.54,0.0,0.094,0.53,0.0,0.058,0.514
120,1.6395880119736206,4.9299349383274125,8.674634799975884,6.784,7.35,9.102,0.102,0.194,0.546,0.0,0.098,0.548,0.0,0.092,0.554,0.0,0.06,0.538
121,1.4759061489542988,4.969541530819096,8.780216315695439,6.862,7.404,9.1,0.1,0.192,0.572,0.0,0.1,0.566,0.0,0.096,0.554,0.0,0.062,0.532
122,1.5815044004270085,5.071283252332632,8.774288685991568,6.762,7.464,9.01,0.114,0.182,0.57,0.0,0.098,0.566,0.0,0.094,0.538,0.0,0.06,0.538
123,1.6254645286839358,5.010953341289649,8.916047147713686,6.824,7.486,8.97,0.1,0.178,0.562,0.0,0.1,0.572,0.0,0.096,0.552,0.0,0.06,0.556
124,1.444618061907571,5.079891639526042,8.733162064990529,6.722,7.552,9.106,0.108,0.176,0.558,0.0,0.098,0.574,0.0,0.094,0.552,0.0,0.06,0.552
125,1.5441413879860222,5.1012848115486165,8.799207105620782,6.91,7.514,9.13,0.078,0.216,0.572,0.0,0.098,0.576,0.0,0.094,0.558,0.0,0.06,0.558
126,1.567209446173432,5.130974596583873,8.690048765094977,6.944,7.46,9.158,0.1,0.226,0.562,0.0,0.102,0.554,0.0,0.094,0.552,0.0,0.062,0.558
127,1.5096101490914147,5.130486463822919,8.702359780217753,6.786,7.452,9.158,0.078,0.182,0.576,0.0,0.104,0.562,0.0,0.094,0.552,0.0,0.064,0.56
128,1.5463786341734613,5.091953871225578,8.745027338644565,7.022,7.494,9.144,0.076,0.188,0.586,0.0,0.104,0.572,0.0,0.1,0.566,0.0,0.062,0.55
129,1.5622903137456177,5.2209630554855675,8.77904880984784,6.782,7.41,9.07,0.098,0.214,0.552,0.0,0.108,0.574,0.0,0.1,0.558,0.0,0.064,0.552
130,1.5932773276001928,5.146706196148602,8.719439441003857,6.792,7.512,9.108,0.112,0.188,0.54,0.0,0.11,0.584,0.0,0.1,0.548,0.0,0.066,0.554
131,1.5813835124016906,5.147796417785368,8.747502427422237,6.832,7.536,9.08,0.124,0.192,0.524,0.0,0.108,0.574,0.0,0.104,0.57,0.0,0.064,0.568
132,1.5649689684311612,5.152833096298367,8.802609930717926,6.852,7.476,9.048,0.088,0.228,0.572,0.0,0.114,0.584,0.0,0.106,0.568,0.0,0.064,0.58
133,1.601246869433047,5.219741947966219,8.81643350572713,6.936,7.558,8.994,0.088,0.17,0.568,0.0,0.114,0.61,0.0,0.104,0.55,0.0,0.062,0.562
134,1.6803357329136892,5.255119108246915,8.90096974151556,6.872,7.472,9.064,0.08,0.202,0.556,0.0,0.114,0.604,0.0,0.11,0.558,0.0,0.064,0.58
135,1.4399172547866417,5.314333731306185,8.672664604936323,6.85,7.574,9.122,0.112,0.216,0.55,0.0,0.114,0.604,0.0,0.108,0.564,0.0,0.064,0.582
136,1.6312284620499675,5.42884223683264,8.825255903563935,6.938,7.444,9.052,0.09,0.22,0.562,0.0,0.112,0.6,0.0,0.106,0.544,0.0,0.064,0.576
137,1.604235584913544,5.349068325880794,8.975071594642042,6.82,7.458,9.154,0.098,0.236,0.562,0.0,0.114,0.62,0.0,0.11,0.578,0.0,0.068,0.566
138,1.6232682378413812,5.344017498592173,8.678377764438823,6.842,7.552,9.154,0.1,0.194,0.572,0.0,0.112,0.602,0.0,0.106,0.562,0.0,0.066,0.574
139,1.5876931800060887,5.276152605670305,8.876276266027244,6.836,7.51,9.166,0.108,0.21,0.546,0.0,0.112,0.606,0.0,0.108,0.576,0.0,0.07,0.592
140,1.629593799001591,5.304158367139956,8.787747501719055,6.876,7.398,9.162,0.078,0.206,0.598,0.0,0.114,0.608,0.0,0.11,0.572,0.0,0.07,0.592
141,1.510003507091557,5.375727251023814,8.780263040936166,6.97,7.526,9.176,0.096,0.206,0.592,0.0,0.114,0.604,0.0,0.108,0.586,0.0,0.072,0.582
142,1.5490885243562424,5.3016831048086095,8.724047375707613,6.808,7.422,9.08,0.104,0.224,0.622,0.0,0.11,0.606,0.0,0.106,0.572,0.0,0.074,0.602
143,1.5820379202308066,5.47150240616919,8.911104736148598,6.798,7.512,9.244,0.116,0.216,0.562,0.0,0.114,0.636,0.0,0.108,0.57,0.0,0.072,0.588
144,1.5125946033265685,5.419181742435212,8.892087596778179,6.742,7.556,9.194,0.124,0.204,0.612,0.0,0.116,0.622,0.0,0.106,0.582,0.0,0.07,0.59
145,1.5641759300683973,5.370804685339131,8.933870420072635,6.896,7.536,9.114,0.1,0.22,0.616,0.0,0.118,0.628,0.0,0.108,0.582,0.0,0.07,0.58
146,1.4743378826660523,5.49001284845827,9.015609050523066,6.87,7.488,9.176,0.104,0.222,0.546,0.0,0.116,0.646,0.0,0.106,0.588,0.0,0.074,0.598
