Step,Normal_Reward_Tau_0.1,Normal_Reward_Tau_1,Normal_Reward_Tau_5,Binomial_Reward_Tau_0.1,Binomial_Reward_Tau_1,Binomial_Reward_Tau_5,Bernoulli_Reward_Tau_0.1,Bernoulli_Reward_Tau_1,Bernoulli_Reward_Tau_5,Normal_Opt_Tau_0.1,Normal_Opt_Tau_1,Normal_Opt_Tau_5,Binomial_Opt_Tau_0.1,Binomial_Opt_Tau_1,Binomial_Opt_Tau_5,Bernoulli_Opt_Tau_0.1,Bernoulli_Opt_Tau_1,Bernoulli_Opt_Tau_5
135,5.468786569893138,8.005575923197068,6.819404062753245,5.736,7.768,6.452,0.874,0.582,0.516,0.09,0.226,0.17,0.112,0.27,0.168,0.314,0.156,0.1
136,5.584866360570056,8.080389363735634,6.726181619706175,5.878,7.866,6.464,0.898,0.618,0.52,0.09,0.236,0.172,0.112,0.268,0.192,0.318,0.16,0.114
137,5.5346514244330836,7.9449965024406906,7.027296659699135,5.752,7.796,6.362,0.854,0.636,0.522,0.09,0.226,0.2,0.112,0.268,0.18,0.318,0.182,0.096
138,5.517745641742048,7.9905942748874565,6.778142626624242,5.784,7.784,6.604,0.884,0.598,0.524,0.09,0.234,0.174,0.112,0.278,0.182,0.32,0.16,0.114
139,5.4950312099923195,7.982862530865353,7.069690122509563,5.646,7.864,6.542,0.872,0.602,0.514,0.09,0.216,0.19,0.112,0.27,0.154,0.322,0.164,0.13
140,5.504573014900039,7.9794483155481375,7.185811246682929,5.862,7.808,6.606,0.85,0.582,0.504,0.09,0.236,0.222,0.112,0.262,0.192,0.32,0.142,0.098
141,5.541755294681156,8.039424600592389,6.831384366895096,5.716,7.762,6.596,0.886,0.614,0.522,0.09,0.232,0.17,0.112,0.266,0.172,0.32,0.158,0.124
142,5.5396963138492215,8.071013186881528,7.010692646451131,5.794,7.868,6.362,0.866,0.646,0.526,0.09,0.23,0.202,0.112,0.272,0.164,0.316,0.16,0.098
143,5.553910686816,8.027344689816568,7.1351172081286105,5.852,7.672,6.504,0.87,0.596,0.482,0.09,0.232,0.222,0.112,0.274,0.186,0.318,0.162,0.118
144,5.43134901753803,8.01619850753578,6.959155555094984,5.758,7.792,6.466,0.88,0.592,0.536,0.09,0.236,0.192,0.112,0.266,0.168,0.32,0.168,0.094
145,5.532042645780903,8.030760170341498,7.071526044798018,5.85,7.878,6.588,0.864,0.606,0.53,0.09,0.238,0.202,0.112,0.268,0.192,0.318,0.148,0.122
146,5.502751364197104,8.069313060535707,7.003392571160857,5.642,7.872,6.672,0.874,0.632,0.508,0.09,0.236,0.216,0.112,0.27,0.176,0.32,0.158,0.118
147,5.578376306275227,8.068332540963414,6.932554450283114,5.838,7.898,6.526,0.876,0.554,0.546,0.09,0.24,0.178,0.112,0.282,0.168,0.318,0.134,0.108
148,5.517738557878882,8.071396168799664,6.91995721848353,5.704,7.904,6.278,0.896,0.604,0.488,0.09,0.23,0.184,0.112,0.278,0.168,0.324,0.16,0.096
